bbg_ticker,Generic_Ticker,Contract_Size,Category,Currency,FX_Rate_to_USD
QSU6 Comdty,QS1 Comdty,100.0,Energy,USD,1.0
USU6 Comdty,US1 Comdty,100000.0,Bond,USD,1.0
LMZSDP 20261124 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20270120 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20261124 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20261021 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
AZBV26 Comdty,AZB1 Comdty,1000.0,Energy,USD,1.0
COX6 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
COV6 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
TYU6 Comdty,TY1 Comdty,100000.0,Bond,USD,1.0
WNZ6 Comdty,WN1 Comdty,100000.0,Bond,USD,1.0
WNU6 Comdty,WN1 Comdty,100000.0,Bond,USD,1.0
QSX6 Comdty,QS1 Comdty,100.0,Energy,USD,1.0
LMNIDP 20261120 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20260916 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
PLV6 Comdty,PL1 Comdty,50.0,Precious Metal,USD,1.0
TUZ6 Comdty,TU1 Comdty,200000.0,Bond,USD,1.0
TUU6 Comdty,TU1 Comdty,200000.0,Bond,USD,1.0
CNZ6 Comdty,CN1 Comdty,100000.0,Bond,CAD,0.7192
CNU6 Comdty,CN1 Comdty,100000.0,Bond,CAD,0.7192
CTZ6 Comdty,CT1 Comdty,50000.0,Agriculture,USD,1.0
FVU6 Comdty,FV1 Comdty,100000.0,Bond,USD,1.0
UXYZ6 Comdty,UXY1 Comdty,100000.0,Bond,USD,1.0
UXYU6 Comdty,UXY1 Comdty,100000.0,Bond,USD,1.0
LMSNDP 20261120 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
G Z6 Comdty,G 1 Comdty,100000.0,Bond,GBP,1.3475
G U6 Comdty,G 1 Comdty,100000.0,Bond,GBP,1.3475
KCU6 Comdty,KC1 Comdty,37500.0,Agriculture,USD,1.0
ZZBU6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD,1.0
SCOV6 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
SIZ6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD,1.0
CTH7 Comdty,CT1 Comdty,50000.0,Agriculture,USD,1.0
LMZSDP 20260819 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20261118 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20260819 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
NQU6P 29000 Index,NQ1 Index,20.0,Equity Index,USD,1.0
PAU6 Comdty,PA1 Comdty,100.0,Precious Metal,USD,1.0
LMNIDP 20261021 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMSNDP 20261112 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
LMSNDP 20260916 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
GCU6C 4200 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
DFU6 Comdty,DF1 Comdty,10.0,Agriculture,USD,1.0
CCZ6 Comdty,CC1 Comdty,10.0,Agriculture,USD,1.0
CCU6 Comdty,CC1 Comdty,10.0,Agriculture,USD,1.0
CQDF27 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
CQDZ26 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
CQDX26 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
CQDU26 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
CQDV26 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
JWLU26 Comdty,JWL1 Comdty,1000.0,Energy,USD,1.0
LMAHDP 20261110 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20261110 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
KEU6 Comdty,KE1 Comdty,100000000.0,Bond,KRW,0.07338
KAAU6 Comdty,KAA1 Comdty,100000000.0,Bond,KRW,0.07338
LMSNDP 20261106 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
LMAHDP 20261106 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20261106 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20260916 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
HWAU6 Index,HWA1 Index,5.0,Equity Index,USD,1.0
CLZ6 Comdty,CL1 Comdty,1000.0,Energy,USD,1.0
XBZ6 Comdty,XB1 Comdty,42000.0,Energy,USD,1.0
CJPZ26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
CJPQ26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
LMAHDP 20261104 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
CJPF27 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
CJPX26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
HWBU6 Index,HWB1 Index,2.0,Equity Index,USD,1.0
JADQ6C 64 Curncy,JAD1 Curncy,12500000.0,Currency,USD,1.0
LMSNDP 20261104 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
CQDQ26 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
CJPN26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
AUAQ6C 70 Curncy,AUA1 Curncy,100000.0,Currency,USD,1.0
PFRN6 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
AZBU26 Comdty,AZB1 Comdty,1000.0,Energy,USD,1.0
SCON6 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
MFSN6 Comdty,MFS1 Comdty,100.0,Ferrous,USD,1.0
LMSNDP 20261030 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
LMSNDP 20261021 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
TWTU6 Index,TWT1 Index,40.0,Equity Index,USD,1.0
COU6 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
LMZSDP 20261029 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20261029 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMSNDP 20261028 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
LMNIDP 20261028 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
HGU6 Comdty,HG1 Comdty,25000.0,Base Metal,USD,1.0
S X6 Comdty,S 1 Comdty,5000.0,Agriculture,USD,1.0
LMZSDP 20261027 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
ECU6 Curncy,EC1 Curncy,125000.0,Currency,USD,1.0
PFRU6 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
GCU6C 4300 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
UXN6 Index,UX1 Index,1000.0,Equity Index,USD,1.0
AZBQ26 Comdty,AZB1 Comdty,1000.0,Energy,USD,1.0
JWLQ26 Comdty,JWL1 Comdty,1000.0,Energy,USD,1.0
PLF7 Comdty,PL1 Comdty,50.0,Precious Metal,USD,1.0
W U6 Comdty,W 1 Comdty,5000.0,Agriculture,USD,1.0
XIDN6 Curncy,XID1 Curncy,2000000.0,Currency,USD,1.0
NQU6 Index,NQ1 Index,20.0,Equity Index,USD,1.0
XPTUSD 20260720 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD,1.0
XPTUSD 20260716 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD,1.0
KMU6 Index,KM1 Index,250000.0,Equity Index,KRW,0.07338
LMNIDP 20260715 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
IACM7 Comdty,IAC1 Comdty,100.0,Ferrous,USD,1.0
IACU6 Comdty,IAC1 Comdty,100.0,Ferrous,USD,1.0
LMZSDP 20261009 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20260715 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMSNDP 20261009 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
LMNIDP 20261009 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20261008 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMSNDP 20260819 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
LMZSDP 20261008 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
HIN6 Index,HI1 Index,50.0,Equity Index,HKD,0.12749
SIQ6C 65 Comdty,SI1 Comdty,5000.0,Precious Metal,USD,1.0
CLU6 Comdty,CL1 Comdty,1000.0,Energy,USD,1.0
LMAHDP 20261007 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMSNDP 20261007 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
RSX6 Comdty,RS1 Comdty,20.0,Agriculture,CAD,0.7192
LMAHDP 20261006 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20260715 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20261006 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20261002 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
CQDN26 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
CJPM26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
LMNIDP 20261001 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
IACM6 Comdty,IAC1 Comdty,100.0,Ferrous,USD,1.0
ZZBM6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD,1.0
SCOM6 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
UEAQ6P 1.135 Curncy,UEA1 Curncy,125000.0,Currency,USD,1.0
SIQ6P 58.00 Comdty,SI1 Comdty,5000.0,Precious Metal,USD,1.0
LMNIDP 20260929 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMCADP 20260715 Comdty,LMCADY Comdty,25.0,Base Metal,USD,1.0
RTYU6 Index,RTY1 Index,50.0,Equity Index,USD,1.0
UEAQ6P 1.125 Curncy,UEA1 Curncy,125000.0,Currency,USD,1.0
LMCADP 20260929 Comdty,LMCADY Comdty,25.0,Base Metal,USD,1.0
JGSM6 Index,JGS1 Index,2.0,Equity Index,USD,1.0
IACV6 Comdty,IAC1 Comdty,100.0,Ferrous,USD,1.0
IACN6 Comdty,IAC1 Comdty,100.0,Ferrous,USD,1.0
LMAHDP 20261118 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
NQU6P 28000 Index,NQ1 Index,20.0,Equity Index,USD,1.0
HCTM6 Index,HCT1 Index,50.0,Equity Index,HKD,0.12749
LMZSDP 20260925 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
QCU6 Comdty,QC1 Comdty,10.0,Agriculture,GBP,1.3475
LMZSDP 20260923 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
CLQ6 Comdty,CL1 Comdty,1000.0,Energy,USD,1.0
LMNIDP 20260925 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20260924 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMAHDP 20260923 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20260819 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
HCTZ6 Index,HCT1 Index,50.0,Equity Index,HKD,0.12749
PLQ6C 1800 Comdty,PL1 Comdty,50.0,Precious Metal,USD,1.0
COQ6 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
AUAQ6C 71.5 Curncy,AUA1 Curncy,100000.0,Currency,USD,1.0
HIM6 Index,HI1 Index,50.0,Equity Index,HKD,0.12749
C N6C 600 Comdty,C 1 Comdty,5000.0,Agriculture,USD,1.0
C N6 Comdty,C 1 Comdty,5000.0,Agriculture,USD,1.0
PFRX6 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
SBN6 Comdty,SB1 Comdty,112000.0,Agriculture,USD,1.0
COQ6C 110 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
PLN6 Comdty,PL1 Comdty,50.0,Precious Metal,USD,1.0
CJPU26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
UXM6 Index,UX1 Index,1000.0,Equity Index,USD,1.0
LMAHDP 20260917 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
RTYM6 Index,RTY1 Index,50.0,Equity Index,USD,1.0
HWBM6 Index,HWB1 Index,2.0,Equity Index,USD,1.0
CTN6 Comdty,CT1 Comdty,50000.0,Agriculture,USD,1.0
W N6 Comdty,W 1 Comdty,5000.0,Agriculture,USD,1.0
LMNIDP 20260915 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20260617 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMZSDP 20260915 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20260911 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMAHDP 20260915 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20260731 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
HIM6C 27400 Index,HI1 Index,50.0,Equity Index,HKD,0.12749
LMAHDP 20260911 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
NXU6 Index,NX1 Index,5.0,Equity Index,USD,1.0
HWAM6 Index,HWA1 Index,5.0,Equity Index,USD,1.0
XIDM6 Curncy,XID1 Curncy,2000000.0,Currency,USD,1.0
SIN6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD,1.0
LMAHDP 20260910 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20260910 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMZSDP 20260910 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
NQM6P 29400 Index,NQ1 Index,20.0,Equity Index,USD,1.0
GCN6C 4600 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
HGN6 Comdty,HG1 Comdty,25000.0,Base Metal,USD,1.0
GCQ6 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
LMAHDP 20260909 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20260909 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20260908 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMZSDP 20260908 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
AUAN6C 72 Curncy,AUA1 Curncy,100000.0,Currency,USD,1.0
RSN6 Comdty,RS1 Comdty,20.0,Agriculture,CAD,0.7192
XUCM6 Curncy,XUC1 Curncy,100000.0,Currency,CNH,0.1489
ECM6 Curncy,EC1 Curncy,125000.0,Currency,USD,1.0
LMAHDP 20260904 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
DFN6 Comdty,DF1 Comdty,10.0,Agriculture,USD,1.0
HGN6P 625 Comdty,HG1 Comdty,25000.0,Base Metal,USD,1.0
DXM6 Curncy,DX1 Curncy,1000.0,Currency,USD,1.0
LMSNDP 20260617 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
JADM6C 64 Curncy,JAD1 Curncy,12500000.0,Currency,USD,1.0
JADM6C 64.5 Curncy,JAD1 Curncy,12500000.0,Currency,USD,1.0
PFRZ6 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
PFRV6 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
NQM6 Index,NQ1 Index,20.0,Equity Index,USD,1.0
LMSNDP 20260715 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
HON6 Comdty,HO1 Comdty,42000.0,Energy,USD,1.0
XBN6 Comdty,XB1 Comdty,42000.0,Energy,USD,1.0
ZZBK6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD,1.0
CJPK26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
IACK6 Comdty,IAC1 Comdty,100.0,Ferrous,USD,1.0
SCOK6P 95 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
SCOK6C 120 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
CQDM26 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
PFRK6 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
SCOK6 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
LMZSDP 20260828 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
DATU6 Comdty,DAT1 Comdty,1000.0,Energy,USD,1.0
AULU26 Comdty,AUL1 Comdty,1000.0,Energy,USD,1.0
HCTK6 Index,HCT1 Index,50.0,Equity Index,HKD,0.12749
CON6 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
QSQ6 Comdty,QS1 Comdty,100.0,Energy,USD,1.0
GCN6C 4800 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
AUAM6C 70.5 Curncy,AUA1 Curncy,100000.0,Currency,USD,1.0
LMAHDP 20260827 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20260714 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20260827 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
CLN6 Comdty,CL1 Comdty,1000.0,Energy,USD,1.0
NXM6 Index,NX1 Index,5.0,Equity Index,USD,1.0
XIDK6 Curncy,XID1 Curncy,2000000.0,Currency,USD,1.0
LMNIDP 20260821 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
HCK6 Index,HC1 Index,50.0,Equity Index,HKD,0.12749
HIK6 Index,HI1 Index,50.0,Equity Index,HKD,0.12749
GCM6 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
LMZSDP 20260820 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20260617 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMCADP 20260819 Comdty,LMCADY Comdty,25.0,Base Metal,USD,1.0
UEAM6C 1.185 Curncy,UEA1 Curncy,125000.0,Currency,USD,1.0
PAM6 Comdty,PA1 Comdty,100.0,Precious Metal,USD,1.0
GCM6C 4800 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
UXK6 Index,UX1 Index,1000.0,Equity Index,USD,1.0
LMNIDP 20260520 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20260814 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMCADP 20260814 Comdty,LMCADY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20260814 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20260520 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20260813 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMZSDP 20260813 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20260813 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20260812 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMZSDP 20260811 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
LMCADP 20260811 Comdty,LMCADY Comdty,25.0,Base Metal,USD,1.0
LMCADP 20260617 Comdty,LMCADY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20260807 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMAHDP 20260617 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20260807 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMSNDP 20260806 Comdty,LMSNDY Comdty,5.0,Base Metal,USD,1.0
LMNIDP 20260806 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
UEAK6C 1.175 Curncy,UEA1 Curncy,125000.0,Currency,USD,1.0
JADK6C 64 Curncy,JAD1 Curncy,12500000.0,Currency,USD,1.0
TOPJ6 Comdty,TOP1 Comdty,25.0,Base Metal,USD,1.0
CLM6 Comdty,CL1 Comdty,1000.0,Energy,USD,1.0
CQDK26 Comdty,CQD1 Comdty,1000.0,Energy,USD,1.0
PFRJ6 Comdty,PFR1 Comdty,100.0,Chemicals,USD,1.0
ZZBJ6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD,1.0
MFSJ6 Comdty,MFS1 Comdty,100.0,Ferrous,USD,1.0
IACJ6 Comdty,IAC1 Comdty,100.0,Ferrous,USD,1.0
CJPJ26 Comdty,CJP1 Comdty,1000.0,Energy,USD,1.0
SCOJ6 Comdty,SCO1 Comdty,100.0,Ferrous,USD,1.0
GCM6C 4975 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
LMAHDP 20260730 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMAHDP 20260630 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
SIM6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD,1.0
LMZSDP 20260728 Comdty,LMZSDY Comdty,25.0,Base Metal,USD,1.0
W K6 Comdty,W 1 Comdty,5000.0,Agriculture,USD,1.0
COM6 Comdty,CO1 Comdty,1000.0,Energy,USD,1.0
HCTJ6 Index,HCT1 Index,50.0,Equity Index,HKD,0.12749
LMNIDP 20260727 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMAHDP 20260724 Comdty,LMAHDY Comdty,25.0,Base Metal,USD,1.0
LMNIDP 20260724 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
LMNIDP 20260723 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
ORQ6 Comdty,OR1 Comdty,5.0,Chemicals,USD,1.0
ORN6 Comdty,OR1 Comdty,5.0,Chemicals,USD,1.0
HIJ6 Index,HI1 Index,50.0,Equity Index,HKD,0.12749
LMNIDP 20260722 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
S N6 Comdty,S 1 Comdty,5000.0,Agriculture,USD,1.0
SIK6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD,1.0
LMNIDP 20260721 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
JADK6C 64.5 Curncy,JAD1 Curncy,12500000.0,Currency,USD,1.0
GCK6C 4900 Comdty,GC1 Comdty,100.0,Precious Metal,USD,1.0
XPTUSD 20260423 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD,1.0
C K6C 500 Comdty,C 1 Comdty,5000.0,Agriculture,USD,1.0
RSK6 Comdty,RS1 Comdty,20.0,Agriculture,CAD,0.7192
LMNIDP 20260720 Comdty,LMNIDY Comdty,6.0,Base Metal,USD,1.0
BBWH27 Comdty,BBW1 Comdty,1000.0,Energy,USD,1.0
BBWG27 Comdty,BBW1 Comdty,1000.0,Energy,USD,1.0
XPTUSD 20260421 Curncy,XPTUSD Curncy,1.0,Precious Metal,USD,1.0
